trial_id,position,was_clicked,n_fixations,total_dwell_ms,click_pos,entry_t,exit_t,min_dist,mean_dist,final_dist,retreat_dist,dwell_in_proximity_ms,mean_approach_velocity,max_approach_velocity,direction_changes,frac_decreasing,etype,four_class_label
p044-b6-t4,1,True,34,8169.0,1,1678289146000,1678289177562,66.66825973891757,270.9105268437901,66.66825973891757,0.0,3212.0,25.795815295815267,281.54545454545456,1,0.5151515151515151,organic,clicked
p044-b6-t4,2,False,9,2134.0,1,1678289148538,1678289165619,112.21116385255746,362.31949982638497,118.11763117438883,5.9064673218313715,448.0,39.70571789321788,128.63636363636374,0,0.875,organic,not_approached
p044-b6-t4,4,False,9,2432.0,1,1678289155786,1678289172605,116.56359178213842,245.47079040601932,587.6948640238402,471.13127224170177,1604.0,924.1666666666663,924.1666666666663,0,0.625,organic,not_approached
p044-b6-t4,5,False,10,2453.0,1,1678289157420,1678289172384,120.32644121847544,198.2437166471065,521.4670557528586,401.1406145343832,756.0,0,0,0,0.5555555555555556,organic,not_approached
p044-b6-t4,6,False,15,3663.0,1,1678289159115,1678289172284,99.1351330433343,232.7076248525175,458.95019049154433,359.81505744821004,2280.0,0,0,0,0.5,organic,deferred
p044-b6-t4,3,False,4,661.0,1,1678289162651,1678289163154,512.7850007861482,579.468142129319,632.0259772476593,119.24097646151108,0,105.20833333333333,311.875,2,0.3333333333333333,organic,not_approached
p044-b6-t4,7,False,3,683.0,1,1678289169270,1678289171969,144.451634077423,207.82803206534513,316.50082841236963,172.04919433494663,536.0,0,0,0,0.0,organic,not_approached
p044-b6-t4,9,False,2,548.0,1,1678289170670,1678289170931,160.26197068995762,172.10382310066535,160.26197068995762,0.0,0,0,0,0,0.5,organic,not_approached
p044-b6-t4,8,False,4,506.0,1,1678289171152,1678289171466,97.23338639641517,167.59660573841055,153.46667646795098,56.233290071535805,0,0,0,0,0.6666666666666666,organic,deferred
p044-b6-t7,0,False,20,3238.0,9,1678289255921,1678289287303,130.96762435701424,373.11142383833885,248.454434018472,117.48680966145776,0,787.53125,1690.625,1,0.3684210526315789,dd_top,not_approached
